experiment	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
tdT_Expression	1.01196221614544e-221	0.469683300871048	0.638	0.322	1.49972800432754e-217	1	Hk2	0.67760976895502
tdT_Expression	1.57311170158619e-219	0.412101809575225	0.719	0.377	2.33135154175074e-215	1	Bmp1	0.594537237015544
tdT_Expression	8.59956213853054e-219	0.739009068206582	0.821	0.567	1.27445510893023e-214	1	Klf2	1.06616471787361
tdT_Expression	2.10652970133609e-217	-2.26041162218323	0.051	0.37	3.12187701738009e-213	1	C1qb	-3.26108463769152
tdT_Expression	2.19407671922613e-217	-1.33087732951201	0.024	0.34	3.25162169789312e-213	1	Tyrobp	-1.92005012331852
tdT_Expression	2.82081095825473e-217	0.559507639056273	0.943	0.743	4.18044184013351e-213	1	Ier3	0.807198896205978
tdT_Expression	1.80385371950916e-216	-1.40858701481188	0.024	0.339	2.67331121231257e-212	1	Ctss	-2.03216150092968
tdT_Expression	1.46717493381432e-215	0.498421320213891	0.437	0.166	2.17435325191282e-211	1	Socs1	0.71906996694591
tdT_Expression	2.94661161070308e-213	-1.76367656108106	0.031	0.343	4.36687840706197e-209	1	C1qc	-2.54444742840375
tdT_Expression	4.69046741729092e-213	0.463543673356635	0.529	0.223	6.95127271242515e-209	1	Htra3	0.66875215878707
tdT_Expression	4.1719897157758e-212	0.431651466821333	0.65	0.325	6.18288875877973e-208	1	Plxdc2	0.622741430575584
tdT_Expression	5.3480294101401e-211	0.411041370204131	0.946	0.787	7.92577958582763e-207	1	Arf4	0.593007346393704
tdT_Expression	1.42044227652523e-210	0.457856490040926	0.528	0.231	2.10509545381039e-206	1	Vasn	0.66054728762087
tdT_Expression	1.91420108930242e-210	0.484156727051065	1	0.861	2.83684601434619e-206	1	Sparc	0.698490509129603
tdT_Expression	4.48024155580952e-210	0.567978954514727	0.781	0.468	6.6397179857097e-206	1	Cilp	0.819420421007694
tdT_Expression	1.7310215016799e-208	-2.07388847361487	0.043	0.352	2.56537386548961e-204	1	C1qa	-2.99198861624095
tdT_Expression	4.45731382439119e-205	0.482528231801462	0.999	0.93	6.60573908774775e-201	1	S100a6	0.696141087108889
tdT_Expression	2.4077989188785e-202	0.562475716295897	0.893	0.661	3.56835799777794e-198	1	Ier2	0.811480926520559
tdT_Expression	1.56425660915683e-198	0.413127333010158	0.621	0.307	2.31822829477043e-194	1	Sdc2	0.596016754589439
tdT_Expression	7.47954935308829e-197	0.562106236065262	0.852	0.596	1.10846921412769e-192	1	Btg2	0.810947879224115
tdT_Expression	4.76562540799132e-195	0.446992959310391	0.299	0.084	7.06265685464314e-191	1	Fst	0.644874525709384
tdT_Expression	1.13563262635476e-194	0.474903427010197	0.866	0.638	1.68300755225776e-190	1	Anxa1	0.685140819048785
tdT_Expression	3.81371657247888e-193	0.809879029969011	0.805	0.572	5.65192796041369e-189	1	Gadd45g	1.16840846025626
tdT_Expression	7.30548370400179e-191	-3.06216372841445	0.064	0.359	1.08267268493306e-186	1	Cd74	-4.41776842537359
tdT_Expression	2.02125360008879e-186	-2.76632321173539	0.276	0.556	2.99549783533158e-182	1	Apoe	-3.99096077906668
tdT_Expression	5.65706530613706e-186	0.605276278455615	0.809	0.569	8.38377078369513e-182	1	Igf1	0.873229085295642
tdT_Expression	3.25810573998039e-185	-2.03083606065327	0.055	0.34	4.82851270665094e-181	1	Pf4	-2.92987711356295
tdT_Expression	5.40835450766716e-183	-0.542758563811097	1	0.974	8.01518138036273e-179	1	mt-Co3	-0.783035088410285
tdT_Expression	8.71455333187985e-182	0.683957916255489	0.603	0.311	1.29149680378459e-177	1	Igfbp5	0.986742693958543
tdT_Expression	2.94313620636259e-180	-1.22355655954146	0.018	0.291	4.36172785782936e-176	1	Mrc1	-1.76521898069763
tdT_Expression	4.797676302364e-179	-1.08135904958961	0.023	0.297	7.11015628010344e-175	1	Laptm5	-1.56007133826333
tdT_Expression	9.65808673956699e-179	-1.46824716466614	0.032	0.308	1.43132845480383e-174	1	Cd14	-2.11823290326311
tdT_Expression	1.57533108426532e-177	-1.55031339715962	0.055	0.332	2.33464066688121e-173	1	Wfdc17	-2.2366294499059
tdT_Expression	2.3403124219894e-177	0.474918288058388	0.671	0.375	3.46834300938829e-173	1	Col5a3	0.685162259009312
tdT_Expression	2.45695731026305e-177	-0.847973776521973	0.997	0.978	3.64121073380984e-173	1	Tmsb4x	-1.22336756219214
tdT_Expression	3.18246549386056e-176	0.503774125101376	0.727	0.47	4.71641386190134e-172	1	Bhlhe40	0.726792432011932
tdT_Expression	2.58689604732852e-172	0.41892917520338	0.842	0.587	3.83377994214086e-168	1	Nfix	0.604387043549619
tdT_Expression	6.93686355810103e-171	-0.863085653108591	0.009	0.268	1.02804317931057e-166	1	Csf1r	-1.24516939160218
tdT_Expression	1.37345950967927e-168	-0.647265273792659	0.009	0.266	2.03546699334468e-164	1	Alox5ap	-0.933806400640306
tdT_Expression	4.09285601465471e-167	-0.63722258342516	0.013	0.269	6.06561261371829e-163	1	Ptpn18	-0.919317861049933
tdT_Expression	1.54732463178773e-165	0.409247525637313	0.991	0.834	2.29313510430942e-161	1	Junb	0.590419375733031
tdT_Expression	1.88246192075964e-164	0.42859241533568	0.414	0.17	2.78980856656579e-160	1	Nnmt	0.618328152167408
tdT_Expression	3.09998732814409e-164	-0.881097656625696	0.017	0.271	4.59418122030953e-160	1	Plek	-1.27115521975278
tdT_Expression	1.38705523732493e-162	-0.812316940089709	0.01	0.259	2.05561586171554e-158	1	Fcgr2b	-1.17192562109752
tdT_Expression	2.95572358736973e-161	-2.16232964408335	0.039	0.297	4.38038235648194e-157	1	H2-Aa	-3.11958225428624
tdT_Expression	5.56454361866026e-160	0.648420993910127	0.797	0.568	8.24665364285451e-156	1	Mgp	0.935473752322433
tdT_Expression	8.53951574246352e-160	-2.06666037054269	0.039	0.295	1.26555623303309e-155	1	H2-Ab1	-2.98156066778368
tdT_Expression	5.10564361163698e-157	-0.695740795595109	0.01	0.253	7.566563832446e-153	1	C5ar1	-1.00374179554921
tdT_Expression	5.38380306318882e-157	0.406291643652084	0.697	0.417	7.97879613964583e-153	1	Nbl1	0.586154939451487
tdT_Expression	8.97471331795033e-156	-0.471247271819404	0.983	0.958	1.33005251372024e-151	1	mt-Nd1	-0.679866102086308
tdT_Expression	2.20581907873947e-154	-0.58428118774979	0.011	0.251	3.26902387469189e-150	1	Cd53	-0.842939572051336
tdT_Expression	3.2768695751735e-154	-0.940510490235549	0.566	0.736	4.85632071040712e-150	1	Cox5a	-1.35686982016687
tdT_Expression	1.49498751387824e-153	-0.958958100231269	0.018	0.259	2.21557149556755e-149	1	Slfn2	-1.38348409562395
tdT_Expression	5.93353461448867e-152	-0.476424324133824	0.993	0.968	8.79349829867221e-148	1	mt-Nd4	-0.687335009786743
tdT_Expression	2.60369769555156e-151	0.686294327196483	0.706	0.468	3.85867998480741e-147	1	Phlda1	0.990113422436594
tdT_Expression	1.26493733671065e-150	0.450432467147434	0.695	0.437	1.87463713300519e-146	1	Errfi1	0.649836686608983
tdT_Expression	1.67241146179289e-150	0.851794710523298	0.255	0.078	2.47851378637706e-146	1	Sfrp2	1.22888000472741
tdT_Expression	1.2051374774989e-148	-0.88866897635052	0.077	0.331	1.78601374165338e-144	1	Fabp5	-1.28207832517277
tdT_Expression	6.91216512537862e-147	-2.09918329759641	0.041	0.281	1.02438287158111e-142	1	H2-Eb1	-3.02848133335929
tdT_Expression	2.34036196486619e-145	-0.567546757675347	0.829	0.923	3.46841643193169e-141	1	Calm1	-0.818796892770833
tdT_Expression	2.88875914859538e-145	-0.795148528517978	0.19	0.442	4.28114105821835e-141	1	Marcksl1	-1.14715683886304
tdT_Expression	3.53875624266341e-144	0.469516803212776	0.626	0.352	5.24443675162717e-140	1	Mfap4	0.677369563609111
tdT_Expression	1.03940431287777e-143	0.42813851047938	0.83	0.62	1.54039719168486e-139	1	Rhob	0.617673305882189
tdT_Expression	6.83772097272384e-142	-0.519905239408325	0.127	0.378	1.01335024815767e-137	1	Mef2c	-0.750064710626579
tdT_Expression	5.99574685458013e-140	0.490868099559004	0.608	0.369	8.88569683848776e-136	1	Dnajb1	0.708172972964365
tdT_Expression	1.80565991180336e-137	0.429190773039957	0.585	0.35	2.67598798929258e-133	1	Sntb2	0.619191399860047
tdT_Expression	1.54993872034593e-136	-0.952582120414332	0.108	0.345	2.29700918355267e-132	1	Ctsc	-1.37428550116125
tdT_Expression	8.55018578425625e-135	-0.507060864046491	0.846	0.922	1.26713753322678e-130	1	Cox4i1	-0.731534193988746
tdT_Expression	6.46995730993185e-134	-0.493604998147941	0.078	0.318	9.58847673331901e-130	1	Ehd4	-0.71212148298604
tdT_Expression	5.01501006009033e-130	-1.71735945778882	0.09	0.33	7.43224490905386e-126	1	Des	-2.47762597317569
tdT_Expression	3.19638343114946e-129	-3.68809685581062	0.213	0.442	4.7370402449635e-125	1	Acta1	-5.32079904419617
tdT_Expression	6.03899775485811e-129	0.533684405759012	0.728	0.513	8.94979467269972e-125	1	Sgk1	0.7699438455883
tdT_Expression	1.57332884959255e-128	0.675614358146593	0.702	0.493	2.33167335509616e-124	1	Socs3	0.974705484051469
tdT_Expression	1.12568667562171e-127	-0.652280912645147	0.67	0.796	1.66826765327137e-123	1	Cox6b1	-0.941042437939681
tdT_Expression	1.25354087103149e-127	-0.61209346506	0.193	0.44	1.85774757086866e-123	1	Tmem176b	-0.883064206602604
tdT_Expression	4.0150729340395e-127	-0.663792908356891	0.101	0.331	5.95033808824655e-123	1	Unc93b1	-0.957650737063749
tdT_Expression	1.24764286662981e-125	0.416956458804419	0.715	0.491	1.84900672834537e-121	1	Ccl7	0.601541015383758
tdT_Expression	4.63050672328797e-125	-0.484613737498561	0.06	0.283	6.86241096391277e-121	1	Ucp2	-0.69914983583584
tdT_Expression	1.47772270372589e-124	-0.603746195573045	0.996	0.971	2.18998504692177e-120	1	mt-Co2	-0.87102164230881
tdT_Expression	4.63453392158248e-124	-0.715088490349244	0.412	0.615	6.86837927178523e-120	1	Ndufb8	-1.03165461882363
tdT_Expression	2.04269026897433e-123	0.439226674692946	0.666	0.431	3.02726697861996e-119	1	Timp1	0.633670145405664
tdT_Expression	3.05170607952455e-123	-0.417853156910367	0.907	0.952	4.52262840985538e-119	1	Gng5	-0.602834677294385
tdT_Expression	7.15198605556241e-123	-0.501391894668321	0.184	0.416	1.05992433343435e-118	1	Slc6a6	-0.723355599979907
tdT_Expression	1.20955850682759e-122	-0.462720833787668	0.048	0.264	1.79256570711849e-118	1	Tpd52	-0.667565052221475
tdT_Expression	1.81462291697874e-122	0.466347267886643	0.811	0.62	2.68927116296249e-118	1	Thbs1	0.672796890712177
tdT_Expression	7.8891735934119e-122	-0.730208787549899	0.825	0.899	1.16917552654364e-117	1	Cox7c	-1.05346859661178
tdT_Expression	2.78304820922797e-120	-0.510285847055649	0.831	0.912	4.12447744607585e-116	1	Ybx1	-0.736186860983009
tdT_Expression	1.03390050858971e-119	-0.802694413995966	0.678	0.789	1.53224055372994e-115	1	Uqcrq	-1.15804325042125
tdT_Expression	1.23579681408422e-119	-2.68742343869548	0.498	0.649	1.83145087847282e-115	1	Tpm1	-3.87713246777473
tdT_Expression	1.05233806206457e-117	-3.14446672065338	0.103	0.321	1.55956500797969e-113	1	Myl1	-4.53650654412701
tdT_Expression	1.56448531017141e-117	-0.719971796670309	0.575	0.714	2.31856722967403e-113	1	Uqcr11	-1.03869974063617
tdT_Expression	2.28707670517176e-116	-0.429179820941769	0.689	0.815	3.38944767706455e-112	1	mt-Nd3	-0.619175599322304
tdT_Expression	6.90271397939657e-116	-3.35958402496544	0.147	0.365	1.02298221174657e-111	1	Mylpf	-4.84685521226743
tdT_Expression	3.02807574795896e-115	-0.671289484670517	0.943	0.965	4.48760825847518e-111	1	Atp5e	-0.968466010535063
tdT_Expression	3.7709343597864e-115	-0.585357084807197	0.343	0.55	5.58852472120344e-111	1	Ndufb7	-0.844491763400564
tdT_Expression	3.88038210252279e-115	-0.643196883921142	0.744	0.836	5.75072627593877e-111	1	Ndufa4	-0.927936954748266
tdT_Expression	6.45419192722477e-115	-0.454296870789275	0.999	0.972	9.5651124361471e-111	1	mt-Co1	-0.655411842579062
tdT_Expression	8.03311687745589e-115	-0.618407253913836	0.646	0.782	1.19050792123896e-110	1	H2az1	-0.892173078471253
tdT_Expression	1.88702681499727e-114	-0.462390341671078	0.21	0.431	2.79657373982596e-110	1	Card19	-0.667088252883818
tdT_Expression	2.80220392753467e-114	-0.640039402341922	0.839	0.897	4.15286622060638e-110	1	Atp5l	-0.923381671732227
tdT_Expression	3.9641022409117e-114	-2.84216903618002	0.09	0.301	5.87479952103114e-110	1	Ckm	-4.10038317386508
tdT_Expression	7.59188246731723e-112	0.540803574448121	0.521	0.307	1.12511698165641e-107	1	Serpine1	0.78021463495133
tdT_Expression	7.8346608692143e-112	-0.526036940970611	0.1	0.319	1.16109674081756e-107	1	Tmem176a	-0.758910886062701
tdT_Expression	2.01370966175747e-111	-0.441604992974087	0.521	0.686	2.98431771872457e-107	1	Atp6v1g1	-0.637101333395521
tdT_Expression	4.07248639767791e-111	-2.79571451137401	0.083	0.289	6.03542484135866e-107	1	Tnni2	-4.03336346130059
tdT_Expression	2.52619167586821e-110	-0.496821047376014	0.737	0.831	3.74381606363669e-106	1	Atp5g2	-0.716761261258636
tdT_Expression	3.21959287917792e-108	-3.06525045103706	0.11	0.317	4.77143664694168e-104	1	Tnnc2	-4.42222162479383
tdT_Expression	6.45568543279741e-108	-2.60560482286751	0.207	0.416	9.56732581140576e-104	1	Tpm2	-3.75909315646733
tdT_Expression	3.21735988665442e-107	-0.552152774786341	0.532	0.707	4.76812735202185e-103	1	Arpc3	-0.796588069997335
tdT_Expression	4.16785063509058e-107	-0.831755077819127	0.811	0.876	6.17675464120425e-103	1	Gapdh	-1.19996892600387
tdT_Expression	2.32080714035013e-106	-0.601215019912342	0.144	0.355	3.43943618199889e-102	1	Ninj1	-0.867369927735495
tdT_Expression	7.22301730286267e-106	-0.554158079260605	0.394	0.586	1.07045116428425e-101	1	Atp2b1	-0.799481112817828
tdT_Expression	1.140662830114e-104	-2.7881542271965	0.101	0.301	1.69046231422895e-100	1	Tnnt3	-4.02245627680999
tdT_Expression	1.90446683643164e-104	-0.677792622561704	0.687	0.801	2.82241985159169e-100	1	Atp5j2	-0.977848055320896
tdT_Expression	1.8976767050524e-103	-0.498462700132467	0.696	0.803	2.81235687688765e-99	1	Cox7a2	-0.719129665549233
tdT_Expression	8.47630752813936e-103	-0.537637986307259	0.148	0.352	1.25618877567025e-98	1	Efhd2	-0.775647656639011
tdT_Expression	5.37882632163182e-99	-0.518320777699198	0.631	0.754	7.97142060865836e-95	1	Atp5mpl	-0.747778815576344
tdT_Expression	5.07315686323859e-95	-0.617887559889659	0.637	0.755	7.51841847131959e-91	1	Cox5b	-0.891423318479793
