0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Flnc	Fgd5	Renbp	Abi3bp	Psap	Prex2	Iqsec3	Inhbb	Wdfy2	Bmper	Alcam	Prkcq	Chrnb1	Grk3	Notch3	Tle4
Casp4	Aldh1a2	Tec	Sptbn1	Ubash3b	F10	Tacc3	Nfatc1	Lrrc15	Gem	Rab7b	Rnf125	Ifngr1	Il6st	Efhd1	Dennd3
Fstl1	Itpkc	Pik3r1	Eya4	Lsmem1	Adamts4	Notch3	Tek	Pxdn	Nfkbie	Mtss1	Itpkb	Nrk	Reln	Acss1	Ldb2
Baiap2	Pxdc1	Map4k3	Fn1	Tet3	Endou	Tgfbi	Zim1	Mt2	Samd4	Tnf	Gas2	Arhgap29	Dusp10	Mxd1	Ablim1
Fam13c	Add3	Pde1b	Npas3	Samd9l	Adamts9	Srpx2	Tmem47	Dbn1	Adamts1	Clec12a	Selplg	Tnik	Spats2l	Sdc2	Gngt2
Pkp4	Hells	Adap2	Igfbp3	Rasa4	Kitl	Rasgrp2	Stk32a	Map1b	Dlk1	Txnrd1	Itpkc	Unc13b	Cdh13	Sdc1	Myo10
Ptprm	Wee1	Hpgds	Col5a1	Il1a	Bcr	Myo1g	Uck2	Itgb8	Rbpms	Wdfy4	Mxd1	Tenm4	Ar	Apold1	Adamts9
Slc7a5	Xdh	Itprid2	Baiap2	Renbp	Sncaip	Col6a2	Hs6st2	Reln	Man1a	Rasgef1b	Notch1	Ldlr	Fxyd6	Sparcl1	Lmo7
Dgkh	Col18a1	Zdhhc14	Dusp14	Tpd52	Spata13	Asb5	Ralgps2	Cdh6	Col8a2	Ifitm10	Grap2	Hmcn2	Pdzd2	Fgf18	Gimap4
Cemip2	Bcr	Hk3	Ptprf	C9orf72	Rgs16	Col15a1	Chd7	Uap1	Spon1	Ptpn6	Ar	Crlf1	Bicc1	Ctnnal1	Palmd
Itpkc	Kif21a	Fes	Ifngr1	Mcoln2	Cxcl9	Runx3	Scn5a	Lsp1	Cxcl14	Lpin2	Gpr132	Bcar3	Hmcn2	Arhgef15	Hjurp
Adarb1	Col27a1	Slc16a10	Ccn1	Rapgef2	Bend7	Kank3	Gria1	Apod	Bcr	Cd40	Cd28	Cep128	Sytl2	Lmnb1	Podxl
Add3	Il6ra	Mtmr10	Tnc	Aim2	Pik3r1	Pax7	Prox1	Npr1	Tm4sf1	P2ry6	Jcad	Bmp6	Itga7	Abcc9	Bcr
Tnfaip6	Id3	Trpv4	Nupr1	Por	Tjp1	Ushbp1	Hivep3	Fnbp1	Pxdn	Sgpl1	Chd2	Dlg2	Sorbs1	Ldlr	Cdh13
Ank3	Tgfb2	Cerk	Spata13	Stard8	Plcb4	Bcam	P2ry14	Plat	Col14a1	Clec4d	Aim2	Col27a1	Nr4a1	Col6a3	Pecam1
Ifi205	Thbs2	Vav1	Itpkc	Gclm	Map1b	Megf10	Prkcq	Ptprm	Col28a1	Zc3h12c	Acss1	Hells	Cp	Tpx2	Chd7
Scn7a	Tjp1	Igsf6	Ptgs2	Parvb	Lamb1	Zfp185	Crybg1	Fam107b	Nr4a3	Cerk	Fnbp1	Grin2a	Crybg1	Adamts9	Rbp1
