0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Tnnc2	Itga4	Plaur	Col5a1	Pycard	Asap2	Abcg2	Dennd1a	Mmp2	Col4a1	Il1a	Cadm3	Htra3	Serping1	Prrx1	Abcb1a
Fabp5	Rcan1	Rab8b	Ehd4	Mcoln2	Sybu	Abcb1a	Apobec1	Maf	Cxcl16	P2ry10b	Kdm6b	Thbs4	Pip4k2a	Id2	Epas1
Bmper	Fxyd6	Slc6a6	Ifi205	Tbc1d22a	Parvb	Bmp5	Ptprg	Myl2	Abcb1a	Slc28a2	Arhgap22	Tnnc2	Arhgef7	Ppp1r13b	Jam2
Baz1a	Car8	Pitpnc1	Ltbp4	Chka	Col15a1	Fabp5	Snrk	Ccdc85a	Nox4	Alcam	Rassf3	Apobec1	Bcl2l11	Ptgs2	Zfp664
Tpm1	Ccl8	Dennd1a	Axl	Basp1	Cxcl9	Batf	Fam49b	Litaf	Unc93b1	Hmox1	Il1r1	Sema5a	Nfkbib	Flt1	Spry2
Nr4a3	Filip1l	Cd274	Ap1b1	Sgpl1	Iigp1	Tpd52	Spon1	Anxa3	Irf1	Srgn	Rasgrp3	Thsd1	Stap1	Cux1	Crim1
Tnn	Diaph3	Otulinl	Has2	Tcea3	Sox7	Sparc	Spata13	Tpm1	Ifi211	Myo5a	Tnn	Col14a1	Aftph	Lrrc8c	Stmn2
Lbp	Hk2	Glipr1	Tnn	Plekhg5	Epha4	Scarb1	Crispld2	Cobll1	Epha3	Prkcb	Pik3ap1	Serpine2	Pi15	Entpd1	Bmp6
Itga4	Prrx1	Tnf	Mast4	P2ry10b	Chd7	Igfbp7	Plod2	Emb	Zfp36l1	Skap2	B4galt5	Gfra1	Itpr1	Plau	Slc12a2
Ptx3	Opcml	Bcl2a1d	Notch3	Slamf7	Lmo7	Ptprc	Ltbp1	Ablim1	Il1b	Birc3	Slc6a6	Cdkn1c	Iqgap2	Csrp2	Fabp4
Peli1	Ltbp4	Aftph	Ednra	Mob3b	Zfp664	Dkk2	Ypel2	Tmem100	Sntb1	Ms4a6d	Sgpl1	Spry2	Plekhg5	Afdn	Tjp1
Opcml	Notch3	Lpxn	Mt2	Dock10	Nav2	Tmem100	Etl4	Itih5	Kdm6b	Blnk	Rdh10	Serpine1	Samsn1	Tpd52	Scarb1
Ly6c1	Maf	Gpr132	Igfbp5	Plaur	Lrrc8c	Cd82	Steap4	Epsti1	Mmp2	Plek	Rabgef1	Tnmd	Fabp5	Ddr2	Ccdc85a
Ifi207	Nxpe4	Csf1r	Ndufc1	Cflar	Fli1	Tspan7	Fbn1	Nexn	Diaph3	Clec10a	Hpgds	Nupr1	Pcdh17	Steap4	Mgat4a
Cxcl9	Tnni2	Cd300a	Acan	Slc11a2	Palmd	Plekhg5	Smoc2	Nr4a3	Ereg	Abcb1b	Nova1	Ebf1	Itga8	Adgrf5	Zfp36l1
Ereg	Tcea3	Cd84	Nox4	Rnf180	Samd9l	Ldb2	Ets1	Znrf1	Itih5	Hcst	Gpr132	Atp2b1	Pla1a	Acta2	Arhgap26.1
Frmd6	Apod	Tank	Tnni2	Wdfy4	Thsd1	Iigp1	Il1r1	Slc25a4	Fabp5	Txnrd1	Igsf6	Cfl2	Hes1	Rnasel	Slfn5
Crim1	Ptx3	Mrc1	Gjc1	Pik3ap1	Emcn	Havcr2	Sorbs2	Iigp1	Ltbp1	Bank1	Ms4a6d	Prrx1	Tiparp	Mgat4a	Nexn
Ugcg	Myl2	Jarid2	Mamdc2	Ncapg2	Col18a1	Sema3c	Dkk2	Grb2	Ar	Dclre1c	Cux1	Gas2	Il1b	Pdzd2	Aplnr
Cox7b	Afdn	Sh2b2	Map2k3	Plek	Slc35f1	Rnf125	Litaf	Pim1	Nr2f2	Nckap1l	Cd86	Nexn	Ar	Ar	Lrrc8c
Rel	Pde3a	Clec4e	Ugp2	Ly86	Znrf1	Ctsc	Atf3	Hs6st2	Ppp1r2	Rab7b	Spi1	Fry	Rassf3	Fyb	Gjc1
Ltbp1	Enpp2	Htr7	Ptgs2	Spi1	Map4k3	Sorbs1	Gas2	Top2a	Ntn1	Myo1f	Pmepa1	Nrp1	Epsti1	Pde4b	Lama4
Tnni2	Col11a1	Hpgds	Mrtfb	Rnf149	Spata13	Pla1a	Nupr1	Gfpt2	Spon1	Fxyd5	Skap2	Asb5	Lrrc8c	Il6	Tcea3
Slc12a2	Megf10	Hck	Id2	Bach1	Afdn	Stard8	Ednra	Gas2	Igfbp7	Il1rn	Rhbdf2	Myoz2	Pde3a	Adgrl3	Prcp
Lgr5	Col12a1	Tcea3	Tnc	Map2k3	Mgll	Fermt3	Tspan12	Plcb4	Fstl1	Nfkbia	Srgn	Slc1a3	Zfp36l1	Ltbp4	Mgll
Il6ra	Thsd1	C5ar1	Ccl11	Aftph	2900026A02Rik	Rnf149	Ehd4	Rnf180	BC028528	Nlrp3	Id2	Itih5	Itga4	Fabp5	Icam1
Myl2	Il6	Lcp1	Svep1	Reps2	Adamts9	Comp	Fbn2	Ifi205	Tnn	Mdm2	Fabp5	Itga1	Sdc2	Irf1	Meox2
